AREA,BFIHOST,FARL,FPEXT,LDP,PROPWET,RMED-1D,SAAR,Index flood
100.1,0.768,0.988,0.0498,18.55,0.31,32.7,786,2.224
246.4,0.431,0.997,0.0418,39.41,0.65,50,1627,175.301
147.85,0.548,0.95,0.017,36.72,0.51,47.8,1375,45.6445
212,0.348,0.986,0.0705,39.41,0.59,37,1222,74.983
38.48,0.448,0.977,0.0302,16.68,0.36,34.9,895,12.8505
107.29,0.858,0.968,0.0291,35.78,0.33,35.3,821,3.61
128.9,0.591,0.842,0.045,29.42,0.35,38.6,987,18.651
67.75,0.527,0.977,0.0293,20.76,0.43,40.3,770,17.238
19.09,0.471,0.966,0.0434,8.75,0.34,37,855,13.357
47.49,0.367,1,0.0489,14.36,0.47,66.2,1987,69.063
306.06,0.715,0.994,0.1778,35.07,0.24,28.3,559,7.983
71.18,0.406,0.999,0.0438,12.11,0.5,39.9,1192,63.66
114.01,0.885,0.975,0.0592,25.15,0.35,34.9,925,4.643
1483.65,0.6,0.994,0.0618,117.13,0.35,33.6,818,164.116
123.45,0.389,0.918,0.0366,28.03,0.76,47.4,2147,111.347
57.92,0.904,0.976,0.0387,16.92,0.34,40,899,1.873
202.32,0.384,0.908,0.0373,42.95,0.63,40,1366,80.886
786.1,0.436,0.681,0.0549,64.99,0.71,50.3,2023,123.938995
239.07,0.563,0.999,0.0338,31.32,0.43,35.7,853,60.6065
925.03,0.486,0.989,0.0769,77.44,0.62,41.2,1350,317.10498
194.15,0.348,0.999,0.0372,28.33,0.71,57.5,1751,286.77
34.37,0.353,1,0.0212,12.4,0.72,43.7,1532,37.765
781.74,0.434,0.973,0.0482,100.03,0.56,39.1,1065,319.8985
126.74,0.825,0.89,0.0623,34.81,0.32,34.6,833,3.51
87.41,0.499,0.979,0.0837,17.88,0.4,39.1,891,26.158
193.75,0.297,0.955,0.0741,27.85,0.69,33.2,1096,105.035
420.71,0.495,0.979,0.0216,56.02,0.48,45.8,1361,144.926
156.9,0.675,0.973,0.078,27.31,0.35,39.6,921,28.104
1093,0.45,0.97,0.0645,95.06,0.6,37.5,1165,274.929
661.04,0.342,0.978,0.0346,71.26,0.47,35.8,933,185.524
143.43,0.581,0.944,0.2033,21.83,0.31,28.2,624,8.083
190.8,0.346,0.983,0.0428,32.43,0.62,63.8,1946,218.219
248.51,0.419,0.998,0.0781,45.93,0.62,42.1,1213,140.487
26.53,0.672,0.976,0.0351,8.28,0.44,42.4,1265,2.591
68.85,0.529,0.998,0.0318,25.12,0.3,30.6,639,10.267
326.99,0.502,0.999,0.0316,33.19,0.54,42.3,1306,122.4075
8.45,0.426,1,0.031,5.83,0.38,38.8,1006,4.302
76.17,0.431,0.999,0.0598,28.15,0.62,43.4,1466,78.224
67.14,0.406,0.896,0.0487,16.68,0.62,80.1,2809,89.601
273.84,0.368,0.958,0.1369,37.91,0.56,41.5,1251,137.373
86.29,0.935,1,0.034,21.27,0.34,40.7,922,1.294
112.7,0.422,0.999,0.0362,21.93,0.5,38.5,1144,40.282
429.98,0.366,0.975,0.035,58.58,0.62,43.7,1385,262.267
797.71,0.433,0.991,0.05,79.51,0.67,45.2,1461,447.263
242.36,0.283,0.939,0.0336,37.84,0.6,47.8,1532,193.78
136.48,0.959,1,0.0763,28.58,0.34,31.7,772,3.08
122.39,0.524,0.991,0.1574,17.61,0.31,31.1,643,7.551
243.84,0.335,0.908,0.0264,49.54,0.59,39.1,849,40.91
124.47,0.554,0.998,0.0594,33.35,0.45,40.7,890,35.577
34.8,0.453,0.997,0.0612,18.45,0.71,61.2,2011,41.879
4398.66,0.495,0.981,0.0544,152.98,0.49,35.7,955,780.8
47.71,0.497,0.998,0.0503,15.44,0.35,35.8,806,12.73
77.76,0.461,0.994,0.1153,29.29,0.31,28.8,570,4.55
404.67,0.588,0.993,0.057,44.56,0.41,34.8,910,48.44
139.13,0.406,0.858,0.0478,27.75,0.83,63.6,2616,176.9005
38.57,0.59,0.993,0.0202,15.42,0.48,42.2,1325,6.448
65.35,0.322,0.975,0.0297,18.26,0.62,63.5,1981,90.2495
13.37,0.349,0.981,0.0143,9.95,0.49,64.1,2066,21.629
191.38,0.476,0.98,0.0318,30.06,0.6,10.1,1185,67.405
961.4,0.511,0.997,0.0412,84.53,0.46,34.8,928,249.202
142.08,0.5,0.978,0.0755,28.14,0.32,33.2,789,16.8
116.17,0.483,0.83,0.0486,23.42,0.63,56.1,1976,46.587
170.87,0.296,0.977,0.0584,32.6,0.58,43.5,1503,164.224
155.85,0.428,0.994,0.0764,35.13,0.28,26.2,580,11.3975
273.03,0.426,1,0.0411,36.95,0.61,37.4,1219,134.8995
201.44,0.502,0.95,0.1593,29.48,0.34,29.6,719,10.914
19.31,0.495,1,0.0432,10.04,0.62,68,1974,28.578
36.62,0.293,0.994,0.0177,14.62,0.59,39.8,1126,24.619999
86.81,0.241,0.999,0.0421,24.01,0.62,40.3,1127,73.776
79.62,0.379,0.988,0.028,14.38,0.78,64,2848,183.936
